lead_time_days,product_name
21.0,Étiquette Gin litchi tangerine CDL 
21.0,Étiquette Gin Floral CDL
21.0,Étiquette - CDL - Vodka érable 1L
21.0,Étiquette - CDL - Vodka premium 1L
21.0,Étiquette - CDL - Vodka cerise 1L
21.0,Étiquette - CDL - Vodka Caesar 1L
21.0,Étiquette - CDL - Rhum épicé 1L
21.0,Étiquette - CDL - Rhum ambré 1L
21.0,Étiquette - CDL - Opémiska Fraise 1L
21.0,Étiquette - CDL - Opémiska Boreal 1L
21.0,Étiquette - CDL - Opémiska Bleuet 1L
21.0,Étiquette Ceaser booster 350ml
21.0,Étiquette Bleuet 473ml
21.0,Étiquette Argumes 375ml
21.0,Étiquette Argumes 250ml
21.0,Étiquette Amer Érable 100ml
21.0,Étiquette Amer Poire caramel 100ml
21.0,Étiquette Amer Petits fruits 100ml
21.0,Étiquette Amer Orange 100ml
21.0,Étiquette Amer Mûres 100ml
21.0,Étiquette Amer Citron 100ml
21.0,Étiquette Amer Citron
21.0,Étiquette Amer Cerise 100ml
21.0,Étiquette Noix de coco
21.0,Étiquette Lime 473ml
21.0,Étiquette Framboise menthe 250ml
21.0,Étiquette Fraises menthe 375ml
21.0,Étiquette Fraises Menthe 250ml
21.0,Étiquette Fleur de sureau 473ml
21.0,Étiquette Fashonista 473ml
21.0,Étiquette Cerises noires 250ml
21.0,Étiquette Ceaser booster 473ml
21.0,Étiquette Tonic 473ml
21.0,Étiquette Tiki-Hut 473ml
21.0,Étiquette Thé vert gingembre 375ml
21.0,Étiquette Thé vert gingembre 250ml
21.0,Étiquette Sirop simple 250ml
21.0,Étiquette Rhubarbe Grenade 375ml
21.0,Étiquette Rhubarbe Grenade 250ml
21.0,Étiquette Pêche 473ml
21.0,Étiquette Poire Caramel 375ml
21.0,Étiquette Poire Caramel 250ml
21.0,Étiquette Orgeat 473ml
21.0,Étiquette Orange Vanille 250ml
30.0,Seal type averse
30.0,Seal Vodka
30.0,Seal Gin
30.0,Seal - CDL
72.0,Rhum blend 35866 - Dark Rum
72.0,Rhum blanc
14.0,Malte
35.0,Distilla Agave Mixto 55
21.0,Étiquette noix de coco et ananas 250ml
21.0,Étiquette mures blanches et rhubarbe 250ml
21.0,Étiquette litchi pamplemousse 250ml
7.0,HFC-48
7.0,Caustic - 47
7.0,BOD Lub - Savon à convoyeurs
7.0,Assainisseur Acide - 44 - BOD SAN OXY
,AMO-46
21.0,Étiquette Caesar Booster
7.0,Whisky Canadien 77.3%
3.0,Verres à slush
3.0,Uline - Shipping Tubes
72.0,Texas bourbon
45.0,Tequila Silver 55%
45.0,Sorbate de potassium
