saq_entrepot_id,entrepot,code_saq,qty,annee,periode,semaine,date
521,CDQ,14001338,3.1667,2022,10,1,2022-12-10
522,CDQ,14064873,0.8333,2022,10,1,2022-12-10
523,CDQ,14250123,4.5,2022,10,1,2022-12-10
524,CDQ,14545132,66.25,2022,10,1,2022-12-10
525,CDQ,14561781,33.8333,2022,10,1,2022-12-10
526,CDQ,14682882,177.75,2022,10,1,2022-12-10
527,CDQ,14682891,21.4167,2022,10,1,2022-12-10
528,CDQ,14758699,81.0,2022,10,1,2022-12-10
529,CDQ,14954868,35.5833,2022,10,1,2022-12-10
530,CDQ,14954876,59.75,2022,10,1,2022-12-10
531,CDQ,14960213,526.583,2022,10,1,2022-12-10
532,CDQ,14989770,23.9167,2022,10,1,2022-12-10
533,CDQ,14989788,33.8333,2022,10,1,2022-12-10
534,CDQ,14989796,70.6667,2022,10,1,2022-12-10
535,CDQ,14989809,51.75,2022,10,1,2022-12-10
536,CDQ,14989825,30.0,2022,10,1,2022-12-10
537,CDQ,14989833,23.9167,2022,10,1,2022-12-10
538,CDQ,15095284,0.1667,2022,10,1,2022-12-10
539,CDM,14001338,37.1667,2022,10,2,2022-12-17
540,CDM,14064873,48.25,2022,10,2,2022-12-17
541,CDM,14250123,70.75,2022,10,2,2022-12-17
542,CDM,14545132,142.417,2022,10,2,2022-12-17
543,CDM,14561781,90.6667,2022,10,2,2022-12-17
544,CDM,14682882,248.417,2022,10,2,2022-12-17
545,CDM,14682891,122.417,2022,10,2,2022-12-17
546,CDM,14758699,182.5,2022,10,2,2022-12-17
547,CDM,14954868,61.9167,2022,10,2,2022-12-17
548,CDM,14954876,72.25,2022,10,2,2022-12-17
549,CDM,14960213,789.833,2022,10,2,2022-12-17
550,CDM,14989770,109.5,2022,10,2,2022-12-17
551,CDM,14989788,33.4167,2022,10,2,2022-12-17
552,CDM,14989796,20.75,2022,10,2,2022-12-17
553,CDM,14989809,56.25,2022,10,2,2022-12-17
554,CDM,14989825,338.667,2022,10,2,2022-12-17
555,CDM,14989833,133.75,2022,10,2,2022-12-17
556,CDM,15095284,81.5833,2022,10,2,2022-12-17
557,CDQ,14001338,1.1667,2022,10,2,2022-12-17
558,CDQ,14064873,0.8333,2022,10,2,2022-12-17
559,CDQ,14250123,4.5,2022,10,2,2022-12-17
560,CDQ,14545132,46.0833,2022,10,2,2022-12-17
561,CDQ,14561781,27.75,2022,10,2,2022-12-17
562,CDQ,14682882,153.5,2022,10,2,2022-12-17
563,CDQ,14682891,19.3333,2022,10,2,2022-12-17
564,CDQ,14758699,13.5833,2022,10,2,2022-12-17
565,CDQ,14954868,27.3333,2022,10,2,2022-12-17
566,CDQ,14954876,53.75,2022,10,2,2022-12-17
567,CDQ,14960213,515.583,2022,10,2,2022-12-17
568,CDQ,14989770,11.8333,2022,10,2,2022-12-17
569,CDQ,14989788,27.8333,2022,10,2,2022-12-17
570,CDQ,14989796,67.6667,2022,10,2,2022-12-17
571,CDQ,14989809,47.75,2022,10,2,2022-12-17
572,CDQ,14989825,29.0,2022,10,2,2022-12-17
573,CDQ,14989833,16.9167,2022,10,2,2022-12-17
574,CDM,14001338,29.5,2022,10,4,2022-12-31
575,CDM,14064873,19.8333,2022,10,4,2022-12-31
576,CDM,14250123,52.1667,2022,10,4,2022-12-31
577,CDM,14545132,102.5,2022,10,4,2022-12-31
578,CDM,14561781,69.9167,2022,10,4,2022-12-31
